iter	Passed	Remaining
0	3	349
1	6	308
2	9	321
3	12	292
4	16	307
5	20	317
6	24	319
7	27	315
8	30	307
9	34	307
10	37	303
11	40	294
12	42	281
13	44	270
14	45	260
15	47	250
16	49	242
17	51	234
18	53	227
19	54	219
20	56	211
21	57	203
22	58	196
23	59	189
24	61	183
25	62	176
26	63	171
27	64	165
28	65	160
29	66	155
30	68	152
31	69	148
32	70	143
33	71	139
34	72	135
35	73	131
36	74	127
37	75	123
38	76	120
39	77	116
40	78	113
41	79	109
42	80	106
43	81	103
44	82	100
45	83	98
46	85	95
47	86	93
48	87	90
49	88	88
50	89	85
51	90	83
52	91	81
53	92	78
54	93	76
55	94	74
56	95	71
57	96	69
58	98	68
59	99	66
60	100	64
61	101	61
62	102	59
63	103	58
64	104	56
65	105	54
66	106	52
67	107	50
68	108	48
69	109	46
70	110	45
71	111	43
72	113	41
73	114	40
74	115	38
75	116	36
76	117	35
77	118	33
78	120	31
79	121	30
80	122	28
81	123	27
82	124	25
83	125	23
84	128	22
85	129	21
86	130	19
87	131	17
88	132	16
89	134	14
90	135	13
91	136	11
92	137	10
93	138	8
94	140	7
95	141	5
96	142	4
97	144	2
98	145	1
99	146	0
